length	gccontent
ENSG00000000419	1207	0.397680198840099
ENSG00000000457	2861	0.460678084585809
ENSG00000000460	4912	0.433835504885993
ENSG00000000938	3524	0.574914869466515
ENSG00000000971	8214	0.361334307280253
ENSG00000001036	2590	0.431274131274131
ENSG00000001084	7927	0.436356755392961
ENSG00000001167	3736	0.449143468950749
ENSG00000001460	8535	0.495723491505565
ENSG00000001461	9207	0.467361789942435
ENSG00000001561	4680	0.346794871794872
ENSG00000001617	4716	0.628710771840543
ENSG00000001629	7130	0.409396914446003
ENSG00000001630	725	0.511724137931034
ENSG00000001631	5775	0.384761904761905
ENSG00000002016	3646	0.50082281952825
ENSG00000002079	4107	0.530801071341612
ENSG00000002330	1426	0.64796633941094
ENSG00000002549	3785	0.449405548216645
ENSG00000002587	8166	0.477712466323782
ENSG00000002726	3991	0.582560761713856
ENSG00000002745	3261	0.418889911070224
ENSG00000002746	11101	0.508512746599405
ENSG00000002822	7273	0.607727210229616
ENSG00000002834	4495	0.566629588431591
ENSG00000002919	2420	0.537190082644628
ENSG00000002933	3268	0.568237454100367
ENSG00000003056	1359	0.491537895511405
ENSG00000003137	5015	0.571286141575274
ENSG00000003147	4719	0.46047891502437
ENSG00000003249	2635	0.628462998102467
ENSG00000003393	10381	0.416241209902707
ENSG00000003400	7598	0.462226901816267
ENSG00000003402	8655	0.484690930098209
ENSG00000003436	11596	0.395394963780614
ENSG00000003509	3303	0.420829548894944
ENSG00000003756	9111	0.431017451432335
ENSG00000003987	5184	0.414158950617284
ENSG00000003989	7905	0.416192283364959
ENSG00000004059	1378	0.632075471698113
ENSG00000004142	2088	0.562260536398467
ENSG00000004399	9738	0.611624563565414
ENSG00000004455	5054	0.450534230312624
ENSG00000004468	3071	0.437968088570498
ENSG00000004478	2267	0.542567269519188
ENSG00000004487	3404	0.492361927144536
ENSG00000004534	6246	0.461895613192443
ENSG00000004660	4480	0.590625
ENSG00000004700	2225	0.423370786516854
ENSG00000004766	7359	0.359423834760158
ENSG00000004776	1486	0.6278600269179
ENSG00000004777	4588	0.653007846556234
ENSG00000004779	927	0.50269687162891
ENSG00000004809	3690	0.448509485094851
ENSG00000004838	3763	0.581185224554876
ENSG00000004846	12378	0.388592664404589
ENSG00000004864	3703	0.440183634890629
ENSG00000004866	5695	0.438805970149254
ENSG00000004897	5521	0.374207571092193
ENSG00000004939	5291	0.564354564354564
ENSG00000004975	3022	0.602581072137657
ENSG00000005007	5487	0.603608529250957
ENSG00000005020	5520	0.400724637681159
ENSG00000005059	3468	0.402537485582468
